"date","day_of_week","month","year","open","close","high","low"
"29/05/2008","Thursday","May",2008,73154,71798,73920,71695
"30/05/2008","Friday","May",2008,71798,72593,72862,71766
"02/06/2008","Monday","June",2008,72593,71897,72593,71352
"03/06/2008","Tuesday","June",2008,71897,70012,72019,69602
"04/06/2008","Wednesday","June",2008,70012,68673,70012,68465
"05/06/2008","Thursday","June",2008,68674,71209,71248,68674
"06/06/2008","Friday","June",2008,71208,69786,71211,69515
"09/06/2008","Monday","June",2008,69786,69281,69990,68534
"10/06/2008","Tuesday","June",2008,69275,67775,69275,67067
"11/06/2008","Wednesday","June",2008,67775,66795,68061,66715
"12/06/2008","Thursday","June",2008,66798,67753,67958,66798
"13/06/2008","Friday","June",2008,67326,67204,67885,66907
"16/06/2008","Monday","June",2008,67206,67285,67618,66430
"17/06/2008","Tuesday","June",2008,67284,68438,69029,67284
"18/06/2008","Wednesday","June",2008,68431,67090,68431,66917
"19/06/2008","Thursday","June",2008,67090,66590,67339,66182
"20/06/2008","Friday","June",2008,66584,64614,66611,64602
"23/06/2008","Monday","June",2008,64622,64640,65401,64440
"24/06/2008","Tuesday","June",2008,64636,64168,65084,63713
"25/06/2008","Wednesday","June",2008,64173,65853,66308,64173
"26/06/2008","Thursday","June",2008,65804,63947,65804,63689
"27/06/2008","Friday","June",2008,63951,64321,64624,63881
"30/06/2008","Monday","June",2008,64326,65018,65353,64326
"01/07/2008","Tuesday","July",2008,65018,63396,65018,62911
"02/07/2008","Wednesday","July",2008,63397,61106,63945,61028
"03/07/2008","Thursday","July",2008,61094,59273,61601,59243
"04/07/2008","Friday","July",2008,59266,59365,59779,58786
"07/07/2008","Monday","July",2008,59372,59088,60795,58731
"08/07/2008","Tuesday","July",2008,59081,59536,59536,57945
"10/07/2008","Thursday","July",2008,59528,60253,60589,58338
"11/07/2008","Friday","July",2008,60256,60148,61053,59603
"14/07/2008","Monday","July",2008,60156,60721,61306,60156
"15/07/2008","Tuesday","July",2008,60715,61015,61679,58790
"16/07/2008","Wednesday","July",2008,61018,62056,62183,60863
"17/07/2008","Thursday","July",2008,62063,60109,62606,59985
"18/07/2008","Friday","July",2008,60106,59988,61299,59479
"21/07/2008","Monday","July",2008,60002,60772,61275,60002
"22/07/2008","Tuesday","July",2008,60772,59647,60780,59231
"23/07/2008","Wednesday","July",2008,59646,59421,60242,59313
"24/07/2008","Thursday","July",2008,59425,57434,59641,57334
"25/07/2008","Friday","July",2008,57420,57199,57711,56418
"28/07/2008","Monday","July",2008,57207,56869,58176,56839
"29/07/2008","Tuesday","July",2008,56869,58043,58043,56869
"30/07/2008","Wednesday","July",2008,58069,59998,59998,58069
"31/07/2008","Thursday","July",2008,59998,59505,60023,59225
"01/08/2008","Friday","August",2008,59505,57630,59505,57492
"04/08/2008","Monday","August",2008,57619,55609,57641,55367
"05/08/2008","Tuesday","August",2008,55609,56471,56974,55609
"06/08/2008","Wednesday","August",2008,56473,57542,57813,56473
"07/08/2008","Thursday","August",2008,57546,57018,57942,56960
"08/08/2008","Friday","August",2008,57018,56584,57146,56152
"11/08/2008","Monday","August",2008,56590,54720,56974,54569
"12/08/2008","Tuesday","August",2008,54721,54503,55355,54325
"13/08/2008","Wednesday","August",2008,54509,54573,55492,54035
"14/08/2008","Thursday","August",2008,54573,55138,55725,54573
"15/08/2008","Friday","August",2008,55137,54244,55307,53831
"18/08/2008","Monday","August",2008,54252,53327,54928,53050
